epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,559.68,1.12274,1.54051,1.52455,0.79486,0.36002,0.32689,0.11926,1.88207,3.56663,3.21932,0.000631393,0.000631393,0.000631393
44,574.688,1.06518,1.60689,1.4929,0.7784,0.375,0.32451,0.12125,1.6343,3.43444,3.06984,0.000627105,0.000627105,0.000627105
45,588.863,1.0801,1.56428,1.52014,0.7784,0.375,0.32451,0.12125,1.6343,3.43444,3.06984,0.000621938,0.000621938,0.000621938
46,601.942,1.09499,1.53558,1.53629,0.75527,0.39168,0.30352,0.11547,1.60442,3.37476,3.01697,0.00061589,0.00061589,0.00061589
47,614.568,1.16272,1.55622,1.60944,0.75527,0.39168,0.30352,0.11547,1.60442,3.37476,3.01697,0.000608962,0.000608962,0.000608962
48,626.735,1.17121,1.50296,1.53587,0.81995,0.29167,0.30908,0.1119,1.53634,3.22212,2.81914,0.000601154,0.000601154,0.000601154
49,638.893,1.08253,1.35199,1.48261,0.81995,0.29167,0.30908,0.1119,1.53634,3.22212,2.81914,0.000592465,0.000592465,0.000592465
50,651.076,1.12879,1.54783,1.60523,0.76459,0.375,0.29357,0.13681,1.53287,3.19111,2.69279,0.000582897,0.000582897,0.000582897
51,663.068,1.10122,1.44584,1.47409,0.76459,0.375,0.29357,0.13681,1.53287,3.19111,2.69279,0.00056678,0.00056678,0.00056678
52,675.198,0.9471,1.2614,1.41845,0.79238,0.375,0.30823,0.1343,1.66745,3.35043,2.89743,0.000544776,0.000544776,0.000544776
53,687.394,1.11091,1.35627,1.54616,0.79238,0.375,0.30823,0.1343,1.66745,3.35043,2.89743,0.000522771,0.000522771,0.000522771
54,699.725,1.05673,1.27925,1.44139,0.76436,0.375,0.3123,0.1159,1.95322,3.44143,3.27114,0.000500767,0.000500767,0.000500767
55,711.802,0.90551,1.22425,1.35308,0.76436,0.375,0.3123,0.1159,1.95322,3.44143,3.27114,0.000478762,0.000478762,0.000478762
56,724.009,1.09323,1.3252,1.46511,0.80287,0.33333,0.2874,0.09293,2.20605,3.58376,3.49455,0.000456758,0.000456758,0.000456758
57,736.122,1.02683,1.35192,1.45197,0.80287,0.33333,0.2874,0.09293,2.20605,3.58376,3.49455,0.000434754,0.000434754,0.000434754
58,748.331,1.01059,1.34774,1.42047,0.73198,0.3972,0.31713,0.10264,2.174,3.38141,3.46586,0.000412749,0.000412749,0.000412749
59,760.47,0.93498,1.22427,1.37594,0.73198,0.3972,0.31713,0.10264,2.174,3.38141,3.46586,0.000390745,0.000390745,0.000390745
